KT319121.2	Human parechovirus 17 (HPeV-17)
KT879915.1	Human parechovirus 18 (HPeV-18)
M74568.1	Human respiratory syncytial virus type A (hRSV-A)
AF013254.1	Human respiratory syncytial virus type B (hRSV-B)
FJ445111.1	Human rhinovirus A1 (RV-A1)
D00239.1	Human rhinovirus A1B (RV-A1B)
X02316.1	Human rhinovirus A2 (RV-A2)
DQ473503.1	Human rhinovirus A7 (RV-A7)
FJ445113.1	Human rhinovirus A8 (RV-A8)
FJ445177.1	Human rhinovirus A9 (RV-A9)
DQ473498.1	Human rhinovirus A10 (RV-A10)
EF173414.1	Human rhinovirus A11 (RV-A11)
EF173415.1	Human rhinovirus A12 (RV-A12)
FJ445116.1	Human rhinovirus A13 (RV-A13)
DQ473493.1	Human rhinovirus A15 (RV-A15)
L24917.1	Human rhinovirus A16 (RV-A16)
FJ445118.1	Human rhinovirus A18 (RV-A18)
FJ445119.1	Human rhinovirus A19 (RV-A19)
FJ445120.1	Human rhinovirus A20 (RV-A20)
FJ445121.1	Human rhinovirus A21 (RV-A21)
FJ445122.1	Human rhinovirus A22 (RV-A22)
DQ473497.1	Human rhinovirus A23 (RV-A23)
EF173416.1	Human rhinovirus A24 (RV-A24)
FJ445123.1	Human rhinovirus A25 (RV-A25)
DQ473508.1	Human rhinovirus A28 (RV-A28)
FJ445125.1	Human rhinovirus A29 (RV-A29)
DQ473512.1	Human rhinovirus A30 (RV-A30)
FJ445126.1	Human rhinovirus A31 (RV-A31)
FJ445127.1	Human rhinovirus A32 (RV-A32)
FJ445128.1	Human rhinovirus A33 (RV-A33)
DQ473501.1	Human rhinovirus A34 (RV-A34)
DQ473505.1	Human rhinovirus A36 (RV-A36)
DQ473495.1	Human rhinovirus A38 (RV-A38)
AY751783.1	Human rhinovirus A39 (RV-A39)
FJ445129.1	Human rhinovirus A40 (RV-A40)
DQ473491.1	Human rhinovirus A41 (RV-A41)
FJ445131.1	Human rhinovirus A43 (RV-A43)
FJ445132.1	Human rhinovirus A45 (RV-A45)
DQ473506.1	Human rhinovirus A46 (RV-A46)
FJ445133.1	Human rhinovirus A47 (RV-A47)
DQ473496.1	Human rhinovirus A49 (RV-A49)
FJ445135.1	Human rhinovirus A50 (RV-A50)
FJ445136.1	Human rhinovirus A51 (RV-A51)
DQ473507.1	Human rhinovirus A53 (RV-A53)
FJ445138.1	Human rhinovirus A54 (RV-A54)
DQ473511.1	Human rhinovirus A55 (RV-A55)
FJ445140.1	Human rhinovirus A56 (RV-A56)
FJ445141.1	Human rhinovirus A57 (RV-A57)
FJ445142.1	Human rhinovirus A58 (RV-A58)
DQ473500.1	Human rhinovirus A59 (RV-A59)
FJ445143.1	Human rhinovirus A60 (RV-A60)
FJ445144.1	Human rhinovirus A61 (RV-A61)
FJ445145.1	Human rhinovirus A62 (RV-A62)
FJ445146.1	Human rhinovirus A63 (RV-A63)
EF173417.1	Human rhinovirus A64 (RV-A64)
FJ445147.1	Human rhinovirus A65 (RV-A65)
FJ445148.1	Human rhinovirus A66 (RV-A66)
FJ445149.1	Human rhinovirus A67 (RV-A67)
FJ445150.1	Human rhinovirus A68 (RV-A68)
FJ445152.1	Human rhinovirus A71 (RV-A71)
DQ473492.1	Human rhinovirus A73 (RV-A73)
DQ473494.1	Human rhinovirus A74 (RV-A74)
DQ473510.1	Human rhinovirus A75 (RV-A75)
DQ473502.1	Human rhinovirus A76 (RV-A76)
FJ445154.1	Human rhinovirus A77 (RV-A77)
EF173418.1	Human rhinovirus A78 (RV-A78)
FJ445156.1	Human rhinovirus A80 (RV-A80)
FJ445157.1	Human rhinovirus A81 (RV-A81)
DQ473509.1	Human rhinovirus A82 (RV-A82)
FJ445163.1	Human rhinovirus A85 (RV-A85)
DQ473504.1	Human rhinovirus A88 (RV-A88)
A10937.1	Human rhinovirus A89 (RV-A89)
FJ445167.1	Human rhinovirus A90 (RV-A90)
EF173419.1	Human rhinovirus A94 (RV-A94)
FJ445171.1	Human rhinovirus A96 (RV-A96)
FJ445175.1	Human rhinovirus A100 (RV-A100)
GQ415051.1	Human rhinovirus A101 (RV-A101)
EF155421.1	Human rhinovirus A102 (RV-A102)
JF965515.1	Human rhinovirus A103 (RV-A103)
JN562727.1	Human rhinovirus A104 (RV-A104)
JN614995.1	Human rhinovirus A105 (RV-A105)
JQ245971.1	Human rhinovirus A106 (RV-A106)
